"CODE_MUNI";"STATE";"REGION";"region"
2302057;"CE";23;"nao metropolitana"
3533700;"SP";35;"nao metropolitana"
2927101;"BA";29;"nao metropolitana"
1507755;"PA";15;"nao metropolitana"
3166709;"MG";31;"nao metropolitana"
2918456;"BA";29;"nao metropolitana"
2932408;"BA";29;"nao metropolitana"
3548203;"SP";35;"nao metropolitana"
2410108;"RN";24;"nao metropolitana"
3153004;"MG";31;"nao metropolitana"
2105609;"MA";21;"nao metropolitana"
2404606;"RN";24;"nao metropolitana"
4304713;"RS";43;"nao metropolitana"
4102752;"PR";41;"nao metropolitana"
3136108;"MG";31;"nao metropolitana"
3130606;"MG";31;"nao metropolitana"
4314175;"RS";43;"nao metropolitana"
4312450;"RS";43;"nao metropolitana"
2507200;"PB";25;"nao metropolitana"
4128658;"PR";41;"nao metropolitana"
3128808;"MG";31;"nao metropolitana"
5003900;"MS";50;"nao metropolitana"
3126901;"MG";31;"nao metropolitana"
2110856;"MA";21;"nao metropolitana"
2924058;"BA";29;"nao metropolitana"
2205102;"PI";22;"nao metropolitana"
4106852;"PR";41;"nao metropolitana"
2605509;"PE";26;"nao metropolitana"
2312601;"CE";23;"nao metropolitana"
3532157;"SP";35;"nao metropolitana"
2101301;"MA";21;"nao metropolitana"
2313559;"CE";23;"nao metropolitana"
3113503;"MG";31;"nao metropolitana"
1300086;"AM";13;"nao metropolitana"
5107743;"MT";51;"nao metropolitana"
2612703;"PE";26;"nao metropolitana"
4313003;"RS";43;"nao metropolitana"
2602704;"PE";26;"nao metropolitana"
1303957;"AM";13;"nao metropolitana"
2917409;"BA";29;"nao metropolitana"
2111078;"MA";21;"nao metropolitana"
2311900;"CE";23;"nao metropolitana"
2916203;"BA";29;"nao metropolitana"
4310553;"RS";43;"nao metropolitana"
3100500;"MG";31;"nao metropolitana"
1701903;"TO";17;"nao metropolitana"
2608701;"PE";26;"nao metropolitana"
2414803;"RN";24;"nao metropolitana"
4202537;"SC";42;"nao metropolitana"
2707404;"AL";27;"nao metropolitana"
4206801;"SC";42;"nao metropolitana"
2933174;"BA";29;"nao metropolitana"
1700350;"TO";17;"nao metropolitana"
4310850;"RS";43;"nao metropolitana"
2608255;"PE";26;"nao metropolitana"
4319703;"RS";43;"nao metropolitana"
2309003;"CE";23;"nao metropolitana"
2903706;"BA";29;"nao metropolitana"
2409100;"RN";24;"nao metropolitana"
2607703;"PE";26;"nao metropolitana"
4113106;"PR";41;"nao metropolitana"
2918506;"BA";29;"nao metropolitana"
4311254;"RS";43;"nao metropolitana"
5007307;"MS";50;"nao metropolitana"
3522000;"SP";35;"nao metropolitana"
2930808;"BA";29;"nao metropolitana"
2104602;"MA";21;"nao metropolitana"
2301406;"CE";23;"nao metropolitana"
5219100;"GO";52;"nao metropolitana"
2930600;"BA";29;"nao metropolitana"
2920007;"BA";29;"nao metropolitana"
4122909;"PR";41;"nao metropolitana"
3200508;"ES";32;"nao metropolitana"
2305704;"CE";23;"nao metropolitana"
2601300;"PE";26;"nao metropolitana"
2412401;"RN";24;"nao metropolitana"
5219902;"GO";52;"nao metropolitana"
2300903;"CE";23;"nao metropolitana"
4320321;"RS";43;"nao metropolitana"
4110904;"PR";41;"nao metropolitana"
4126652;"PR";41;"nao metropolitana"
5202353;"GO";52;"nao metropolitana"
2206407;"PI";22;"nao metropolitana"
2106375;"MA";21;"nao metropolitana"
3112109;"MG";31;"nao metropolitana"
3158508;"MG";31;"nao metropolitana"
4300646;"RS";43;"nao metropolitana"
4113809;"PR";41;"nao metropolitana"
3129004;"MG";31;"nao metropolitana"
2912509;"BA";29;"nao metropolitana"
3540408;"SP";35;"nao metropolitana"
2910008;"BA";29;"nao metropolitana"
4212239;"SC";42;"nao metropolitana"
3555505;"SP";35;"nao metropolitana"
2414159;"RN";24;"nao metropolitana"
4319372;"RS";43;"nao metropolitana"
1707207;"TO";17;"nao metropolitana"
2102358;"MA";21;"nao metropolitana"
4201653;"SC";42;"nao metropolitana"
4314134;"RS";43;"nao metropolitana"
1101450;"RO";11;"nao metropolitana"
5203575;"GO";52;"nao metropolitana"
3157104;"MG";31;"nao metropolitana"
2503605;"PB";25;"metropolitana"
4215075;"SC";42;"nao metropolitana"
2916906;"BA";29;"nao metropolitana"
4315206;"RS";43;"nao metropolitana"
2921302;"BA";29;"nao metropolitana"
4310462;"RS";43;"nao metropolitana"
5220157;"GO";52;"nao metropolitana"
3138104;"MG";31;"nao metropolitana"
2901700;"BA";29;"nao metropolitana"
4307203;"RS";43;"nao metropolitana"
4320230;"RS";43;"nao metropolitana"
2903003;"BA";29;"nao metropolitana"
2917334;"BA";29;"nao metropolitana"
4304101;"RS";43;"nao metropolitana"
3116100;"MG";31;"nao metropolitana"
3541653;"SP";35;"nao metropolitana"
2107456;"MA";21;"nao metropolitana"
3120706;"MG";31;"nao metropolitana"
1100262;"RO";11;"nao metropolitana"
5218706;"GO";52;"nao metropolitana"
4320354;"RS";43;"nao metropolitana"
2500908;"PB";25;"nao metropolitana"
4101150;"PR";41;"nao metropolitana"
3148301;"MG";31;"nao metropolitana"
4201604;"SC";42;"nao metropolitana"
3165404;"MG";31;"nao metropolitana"
3122355;"MG";31;"nao metropolitana"
2607950;"PE";26;"nao metropolitana"
3531605;"SP";35;"nao metropolitana"
2412302;"RN";24;"nao metropolitana"
4306452;"RS";43;"nao metropolitana"
1703701;"TO";17;"nao metropolitana"
2111029;"MA";21;"nao metropolitana"
3150158;"MG";31;"nao metropolitana"
2902005;"BA";29;"nao metropolitana"
2923902;"BA";29;"nao metropolitana"
1101468;"RO";11;"nao metropolitana"
3154101;"MG";31;"nao metropolitana"
3533809;"SP";35;"nao metropolitana"
2920452;"BA";29;"nao metropolitana"
4209201;"SC";42;"nao metropolitana"
2403004;"RN";24;"nao metropolitana"
3122405;"MG";31;"nao metropolitana"
2904001;"BA";29;"nao metropolitana"
3119203;"MG";31;"nao metropolitana"
1302207;"AM";13;"nao metropolitana"
2310605;"CE";23;"nao metropolitana"
2911857;"BA";29;"nao metropolitana"
3166204;"MG";31;"nao metropolitana"
2109700;"MA";21;"nao metropolitana"
3121100;"MG";31;"nao metropolitana"
3510104;"SP";35;"nao metropolitana"
5221502;"GO";52;"nao metropolitana"
2111532;"MA";21;"nao metropolitana"
2933059;"BA";29;"nao metropolitana"
2308203;"CE";23;"nao metropolitana"
3108107;"MG";31;"nao metropolitana"
2207504;"PI";22;"nao metropolitana"
4205100;"SC";42;"nao metropolitana"
3102704;"MG";31;"nao metropolitana"
2506103;"PB";25;"nao metropolitana"
1703800;"TO";17;"nao metropolitana"
5215405;"GO";52;"nao metropolitana"
4101051;"PR";41;"nao metropolitana"
4200556;"SC";42;"nao metropolitana"
3527900;"SP";35;"nao metropolitana"
3171030;"MG";31;"nao metropolitana"
4120150;"PR";41;"nao metropolitana"
5108808;"MT";51;"nao metropolitana"
2905107;"BA";29;"nao metropolitana"
4211850;"SC";42;"nao metropolitana"
3132305;"MG";31;"nao metropolitana"
2205409;"PI";22;"nao metropolitana"
2915007;"BA";29;"nao metropolitana"
3102050;"MG";31;"nao metropolitana"
5101605;"MT";51;"nao metropolitana"
1718907;"TO";17;"nao metropolitana"
1720804;"TO";17;"nao metropolitana"
3106507;"MG";31;"nao metropolitana"
3151909;"MG";31;"nao metropolitana"
3152303;"MG";31;"nao metropolitana"
4115903;"PR";41;"nao metropolitana"
2203107;"PI";22;"nao metropolitana"
2921807;"BA";29;"nao metropolitana"
2102077;"MA";21;"nao metropolitana"
2304657;"CE";23;"nao metropolitana"
2105476;"MA";21;"nao metropolitana"
2200301;"PI";22;"nao metropolitana"
3532702;"SP";35;"nao metropolitana"
1505551;"PA";15;"nao metropolitana"
4211652;"SC";42;"nao metropolitana"
2707206;"AL";27;"nao metropolitana"
3500204;"SP";35;"nao metropolitana"
2918753;"BA";29;"nao metropolitana"
3543600;"SP";35;"nao metropolitana"
2105203;"MA";21;"nao metropolitana"
3163102;"MG";31;"nao metropolitana"
4111704;"PR";41;"nao metropolitana"
3170008;"MG";31;"nao metropolitana"
4311270;"RS";43;"nao metropolitana"
2511509;"PB";25;"nao metropolitana"
2412906;"RN";24;"nao metropolitana"
4322327;"RS";43;"nao metropolitana"
2904209;"BA";29;"nao metropolitana"
4312427;"RS";43;"nao metropolitana"
2904407;"BA";29;"nao metropolitana"
3200359;"ES";32;"nao metropolitana"
3554201;"SP";35;"nao metropolitana"
3154150;"MG";31;"nao metropolitana"
3160959;"MG";31;"nao metropolitana"
4312674;"RS";43;"nao metropolitana"
4314035;"RS";43;"nao metropolitana"
4102703;"PR";41;"nao metropolitana"
1710508;"TO";17;"nao metropolitana"
4323754;"RS";43;"nao metropolitana"
2805109;"SE";28;"nao metropolitana"
5205059;"GO";52;"nao metropolitana"
2309102;"CE";23;"nao metropolitana"
4128807;"PR";41;"nao metropolitana"
4204178;"SC";42;"nao metropolitana"
4116307;"PR";41;"nao metropolitana"
2902203;"BA";29;"nao metropolitana"
1101484;"RO";11;"nao metropolitana"
2400307;"RN";24;"nao metropolitana"
2106805;"MA";21;"nao metropolitana"
3166303;"MG";31;"nao metropolitana"
2502409;"PB";25;"nao metropolitana"
2926657;"BA";29;"nao metropolitana"
4121257;"PR";41;"nao metropolitana"
3112901;"MG";31;"nao metropolitana"
4122172;"PR";41;"nao metropolitana"
4103024;"PR";41;"nao metropolitana"
1301951;"AM";13;"nao metropolitana"
5103361;"MT";51;"nao metropolitana"
3521606;"SP";35;"nao metropolitana"
3124401;"MG";31;"nao metropolitana"
4314068;"RS";43;"nao metropolitana"
5203962;"GO";52;"nao metropolitana"
3534500;"SP";35;"nao metropolitana"
4122651;"PR";41;"nao metropolitana"
2310100;"CE";23;"nao metropolitana"
3128204;"MG";31;"nao metropolitana"
5211602;"GO";52;"nao metropolitana"
4321352;"RS";43;"nao metropolitana"
2410256;"RN";24;"nao metropolitana"
4128625;"PR";41;"nao metropolitana"
1200054;"AC";12;"nao metropolitana"
1703057;"TO";17;"nao metropolitana"
1506112;"PA";15;"nao metropolitana"
4312054;"RS";43;"nao metropolitana"
2407708;"RN";24;"nao metropolitana"
4300570;"RS";43;"nao metropolitana"
3131406;"MG";31;"nao metropolitana"
3160306;"MG";31;"nao metropolitana"
3103702;"MG";31;"nao metropolitana"
