"CODE_MUNI";"COD_UF";"ACR_UF";"HIERARCHY"
3138203;31;"MG";"metropolitana"
4214805;42;"SC";"metropolitana"
4322400;43;"RS";"metropolitana"
4304705;43;"RS";"metropolitana"
4321600;43;"RS";"metropolitana"
3302205;33;"RJ";"metropolitana"
4317202;43;"RS";"metropolitana"
4317509;43;"RS";"metropolitana"
2925303;29;"BA";"metropolitana"
3527207;35;"SP";"metropolitana"
4105508;41;"PR";"metropolitana"
1500602;15;"PA";"metropolitana"
2918001;29;"BA";"metropolitana"
1100304;11;"RO";"metropolitana"
3522406;35;"SP";"metropolitana"
3147907;31;"MG";"metropolitana"
3101607;31;"MG";"metropolitana"
4118402;41;"PR";"metropolitana"
2924009;29;"BA";"metropolitana"
5213103;52;"GO";"metropolitana"
2931350;29;"BA";"metropolitana"
1100023;11;"RO";"metropolitana"
4219309;42;"SC";"metropolitana"
3515509;35;"SP";"metropolitana"
3162500;31;"MG";"metropolitana"
2928703;29;"BA";"metropolitana"
3139409;31;"MG";"metropolitana"
5101803;51;"MT";"metropolitana"
3143906;31;"MG";"metropolitana"
1709500;17;"TO";"metropolitana"
4128203;41;"PR";"metropolitana"
3204906;32;"ES";"metropolitana"
3300308;33;"RJ";"metropolitana"
2207702;22;"PI";"metropolitana"
4201406;42;"SC";"metropolitana"
2103000;21;"MA";"metropolitana"
3101508;31;"MG";"metropolitana"
1506138;15;"PA";"metropolitana"
2802908;28;"SE";"metropolitana"
2510808;25;"PB";"metropolitana"
2208007;22;"PI";"metropolitana"
2305506;23;"CE";"metropolitana"
4217204;42;"SC";"metropolitana"
2613909;26;"PE";"metropolitana"
2203909;22;"PI";"metropolitana"
2109908;21;"MA";"metropolitana"
2911709;29;"BA";"metropolitana"
2101202;21;"MA";"metropolitana"
3545605;35;"SP";"metropolitana"
2503704;25;"PB";"metropolitana"
2914604;29;"BA";"metropolitana"
3163706;31;"MG";"metropolitana"
2601201;26;"PE";"metropolitana"
2930105;29;"BA";"metropolitana"
2609907;26;"PE";"metropolitana"
3510500;35;"SP";"metropolitana"
4305355;43;"RS";"metropolitana"
3300100;33;"RJ";"nao metropolitana"
3118304;31;"MG";"metropolitana"
5205109;52;"GO";"metropolitana"
3504107;35;"SP";"metropolitana"
3125101;31;"MG";"nao metropolitana"
5107925;51;"MT";"nao metropolitana"
3104007;31;"MG";"metropolitana"
3305802;33;"RJ";"nao metropolitana"
2606200;26;"PE";"nao metropolitana"
3523404;35;"SP";"nao metropolitana"
1501303;15;"PA";"nao metropolitana"
3306008;33;"RJ";"metropolitana"
4321204;43;"RS";"metropolitana"
3200607;32;"ES";"nao metropolitana"
1508100;15;"PA";"nao metropolitana"
3550605;35;"SP";"metropolitana"
3506508;35;"SP";"metropolitana"
