ACR_UF,YEAR,REGION,INCN,INCM,IND_UF
AC,2014,1,0,0,0
AC,2015,1,4.157399131103582,10.79476453919849,0.38513106200760805
AC,2016,1,38.4414166458158,193.60468045945308,0.1985562361126215
AC,2017,1,13.447608118769274,13.300542714301736,1.0110570980167148
AC,2018,1,36.31625045395313,29.415064002692226,1.2346140212589465
AC,2019,1,7.374382658823132,8.101758081503688,0.910220051578539
AC,2020,1,5.820576569684774,7.014692151768911,0.8297693532020483
AC,2021,1,49.03328518907563,2.62246931710899,18.697372308298316
AC,2022,1,12.462076611690286,3.293373732051113,3.7839849423736385
AL,2014,2,0.24651708338736167,1.082357343369363,0.22775942242878633
AL,2015,2,92.7461602893248,5.7506958341959376,16.12781530503127
AL,2016,2,297.15719938631855,646.5264705300498,0.45962108735114354
AL,2017,2,4.7267246575682895,29.539263044493232,0.1600149824472163
AL,2018,2,5.64170426978036,7.14201238870364,0.789932019538879
AL,2019,2,66.35955432035234,31.208985746116042,2.1262964089953096
AL,2020,2,5.115836810708627,5.080992537766184,1.0068577689660931
AL,2021,2,19.079794742609156,15.98136512519364,1.193877656454456
AL,2022,2,151.691240900421,623.6607910912305,0.24322715660063238
AM,2014,1,0,0.8474275328398346,0
AM,2015,1,0.1413992159413476,5.6262111707234155,0.02513222693757628
AM,2016,1,2.442684160937991,20.943492666079365,0.1166321300789637
AM,2017,1,2.825896515669596,7.96096981452854,0.354968877097413
AM,2018,1,1.4489033871221466,1.9002454737102938,0.762482219885578
AM,2019,1,1.2264412558485918,2.614929904936091,0.46901496423804373
AM,2020,1,0.6057750555293802,0.9184375980432136,0.6595712728007
AM,2021,1,4.988350538708603,3.180923711328281,1.568208165742391
AM,2022,1,6.789769147848974,2.8530195645816643,2.3798536933077608
AP,2014,1,70.25156258071182,8.253756356289541,8.511465513175539
AP,2015,1,25.719905189369108,37.29839951160209,0.6895712825792603
AP,2016,1,24.144353670434498,58.859167790054016,0.4102054884050602
AP,2017,1,46.25502902984895,22.02729011804933,2.099896482134551
AP,2018,1,24.97109826589595,22.6663448806674,1.1016817399259782
AP,2019,1,0.4524068041983351,4.642295150722517,0.09745326169705593
AP,2020,1,0,1.257865590772298,0
AP,2021,1,15.187808095535653,7.880525059297089,1.9272583972837902
AP,2022,1,7.74229227153325,3.5386717848217946,2.1879091202359553
BA,2014,2,2.680515531893501,7.739165757216478,0.34635716768232055
BA,2015,2,118.17034960946188,100.51179202006496,1.175686426781365
BA,2016,2,280.4643305494102,113.76821552640413,2.4652257157388395
BA,2017,2,81.01065130175175,22.31198174523055,3.6308138033982003
BA,2018,2,33.4203417591426,10.827747723752541,3.0865460307898833
BA,2019,2,25.679948247230993,167.68319290764813,0.1531456301728121
BA,2020,2,214.60107855718024,389.3228121344009,0.5512162962675207
BA,2021,2,136.93953680502116,17.57526393865536,7.7916062758997215
BA,2022,2,172.48602843692456,37.52016198922111,4.597155750193104
CE,2014,2,0.021602410656209946,0.2135901224535904,0.10113955836559714
CE,2015,2,6.339802223959639,6.844937698129779,0.926203057434963
CE,2016,2,363.6712015434748,470.62818763832485,0.7727356989993003
CE,2017,2,722.149749709099,1869.033464310512,0.38637604061064823
CE,2018,2,12.391644479067741,23.719383360449964,0.52242692361597165
CE,2019,2,16.62588764351403,11.277375028878298,1.4742692870406138
CE,2020,2,14.518324723596658,8.971810164653107,1.618215773311339
CE,2021,2,22.172070283168416,9.626067751323584,2.3033361966644956
CE,2022,2,554.0199403597807,622.3250306055834,0.8902420971572762
ES,2014,3,0.19990474538882225,0.05307585176126906,3.7663973116809846
ES,2015,3,1.3367593981612131,0.8900052929138302,1.501967919521842
ES,2016,3,4.759068478579777,7.595003417751538,0.6266051793283688
ES,2017,3,10.359201670311842,32.19037931081979,0.3218104878568461
ES,2018,3,16.033928584684134,17.164760695054962,0.9341189702285443
ES,2019,3,42.661425686003085,52.13867067609002,0.8182300226071346
ES,2020,3,0.19440445652776142,227.51217800672418,8.544793436156887e-4
ES,2021,3,0,0,0
ES,2022,3,0,0,0
GO,2014,5,0.36920842050288205,0.4232654932806603,0.872285660806434
GO,2015,5,3.0905419115699586,1.9991670137442732,1.545914818683223
GO,2016,5,4.410995492555129,2.651728051892951,1.6634418787425485
GO,2017,5,3.359215600327703,2.047093934676155,1.6409679807190296
GO,2018,5,4.1641824144317,1.307765985215967,3.184195384730104
GO,2019,5,2.33258956744523,0.7971641528137966,2.926109458399193
GO,2020,5,0.9808124607477272,0.5059582913282544,1.9385243360136932
GO,2021,5,15.982625945442836,6.15097429440605,2.59838932508271
GO,2022,5,28.91740001728618,87.13971505182924,0.331850982070421
MA,2014,2,0.019555472814177247,0,Inf
MA,2015,2,4.680307789469269,6.438720757239145,0.7269002595285923
MA,2016,2,127.89352343183785,237.86407766990294,0.5376748127950733
MA,2017,2,108.56986442002496,43.312911724480635,2.5066397085158516
MA,2018,2,9.264236615465558,12.017383284658273,0.7709029824564672
MA,2019,2,8.059993662000277,17.922300446559362,0.4497187002323464
MA,2020,2,1.8681173321095594,6.060121918634599,0.3082639849810915
MA,2021,2,3.1358899411541805,4.322088608287468,0.7255496648405613
MA,2022,2,20.775975594208102,66.0945612852982,0.3143371434833841
MG,2014,3,0.42269720976062203,1.095401012284121,0.38588353034220535
MG,2015,3,0.7582613322906865,0.5431071424550165,1.3961542263338775
MG,2016,3,6.333959035866864,5.9794394019299,1.0592897778715744
MG,2017,3,120.3604689003623,3.2217612625338905,37.35859335700738
MG,2018,3,87.53602405212771,1.9669087788088635,44.50436390097282
MG,2019,3,15.92921382068933,6.976173654015118,2.2833740400830354
MG,2020,3,22.956448052641647,3.627320155095494,6.3287625770759375
MG,2021,3,38.727649135763876,1.7555284197789027,22.06039429463715
MG,2022,3,80.48155371999788,24.802623808701814,3.2448806360463176
MS,2014,5,1.4635214464995663,5.693139766581269,0.2570675420776488
MS,2015,5,6.0635965583248455,13.706300915393465,0.4423948223342198
MS,2016,5,7.534079335505202,7.407561731610149,1.0170795206950711
MS,2017,5,5.7098204016777085,5.8338385513778155,0.9787415869315038
MS,2018,5,9.128438199399456,11.629075398182929,0.7849668083522613
MS,2019,5,6.107262650530747,5.803688020518269,1.0523071931053538
MS,2020,5,7.77595988445344,4.745654966603833,1.6385430334009736
MS,2021,5,7.9035476009353225,1.9650633569177327,4.022031947780198
MS,2022,5,35.842634972895986,6.474621606130724,5.53586559235479
MT,2014,5,0.13380319067088475,0.10180624642405559,1.3142925446200193
MT,2015,5,10.723794605931312,2.3228287610637346,4.6166961532800945
MT,2016,5,50.70736778053851,7.01280538262868,7.230682303853035
MT,2017,5,10.817263497422243,324.0561206733685,0.0333808337733126
MT,2018,5,49.22624314941701,1196.4590389982125,0.04114327490110638
MT,2019,5,11.50150276752352,21.991593257319888,0.5229954297965771
MT,2020,5,10.093229138910287,9.053551279314446,1.1148364688640242
MT,2021,5,6.0641579936573695,3.8653609917196423,1.568846482035696
MT,2022,5,6.861281937656345,4.536540085566125,1.5124482112451367
PA,2014,1,0.0777502196443705,1.2289860455462227,0.06326371233109845
PA,2015,1,2.800063468105277,14.541558760409895,0.192555936694255
PA,2016,1,52.58218021866321,26.97847754251205,1.9490417921398808
PA,2017,1,127.38541985760237,66.35307611465359,1.9198118205927492
PA,2018,1,21.323520228508794,217.64172047425626,0.09797533387460537
PA,2019,1,29.135979340139958,61.04946913786127,0.4772519687983755
PA,2020,1,4.684517490211422,4.616568350859194,1.0147185385741297
PA,2021,1,1.8993976069365288,2.385679054914833,0.7961664428513566
