COD_UF;UF;COD_CIDADE;NOME_CIDADE;pop2018;area;hierarquia
42;SC;4205431;Formosa do Sul;2525;100,067;Centro Local
31;MG;3135076;Jampruca;5378;517,095;Centro Local
43;RS;4313466;Novo Xingu;1727;79,851;Centro Local
31;MG;3129905;Ibitiúra de Minas;3483;68,316;Centro Local
23;CE;2300804;Antonina do Norte;7328;260,104;Centro Local
21;MA;2102408;Cajapió;11136;545,244;Centro Local
24;RN;2409704;Pedro Avelino;6780;952,754;Centro Local
28;SE;2803104;Itabi;4921;183,422;Centro Local
22;PI;2202752;Colônia do Gurguéia;6451;430,621;Centro Local
43;RS;4320651;Silveira Martins;2394;119,285;Centro Local
24;RN;2412104;São João do Sabugi;6179;277,011;Centro Local
25;PB;2504355;Caturité;4807;118,080;Centro Local
23;CE;2304277;Ererê;7211;382,707;Centro Local
42;SC;4205175;Entre Rios;3189;104,549;Centro Local
29;BA;2923050;Novo Triunfo;15380;251,319;Centro Local
25;PB;2501203;Areial;6935;35,641;Centro Local
29;BA;2918555;Jussari;5902;329,190;Centro Local
52;GO;5200829;Amaralina;3778;1343,237;Centro Local
24;RN;2409332;Santa Maria;5480;219,570;Centro Local
35;SP;3525805;Júlio Mesquita;4752;128,183;Centro Local
31;MG;3159704;Santa Rosa da Serra;3343;284,334;Centro Local
28;SE;2803807;Malhada dos Bois;3665;63,199;Centro Local
31;MG;3121001;Datas;5399;310,099;Centro Local
31;MG;3156452;Rosário da Limeira;4566;111,156;Centro Local
31;MG;3143450;Montezuma;8180;1130,419;Centro Local
31;MG;3164431;São Sebastião da Vargem Alegre;2991;73,629;Centro Local
31;MG;3122470;Dom Bosco;3699;817,383;Centro Local
31;MG;3107208;Bocaina de Minas;5091;503,770;Centro Local
31;MG;3136553;José Raydan;4938;180,822;Centro Local
21;MA;2111573;São Pedro dos Crentes;4651;979,631;Centro Local
31;MG;3160454;Santo Antônio do Retiro;7256;796,290;Centro Local
31;MG;3169505;Tumiritinga;6698;500,073;Centro Local
25;PB;2513604;Santana dos Garrotes;7077;353,815;Centro Local
23;CE;2301505;Arneiroz;7836;1066,362;Centro Local
25;PB;2502607;Igaracy;6186;192,260;Centro Local
17;TO;1705607;Conceição do Tocantins;4124;2500,740;Centro Local
24;RN;2403202;Doutor Severiano;7080;113,737;Centro Local
17;TO;1718402;Presidente Kennedy;3692;770,423;Centro Local
22;PI;2202133;Campo Grande do Piauí;5919;311,829;Centro Local
52;GO;5218391;Professor Jamil;3243;349,419;Centro Local
21;MA;2106359;Marajá do Sena;7810;1402,593;Centro Local
31;MG;3157302;Santa Bárbara do Tugúrio;4454;194,564;Centro Local
35;SP;3529658;Mesópolis;1910;148,636;Centro Local
43;RS;4301925;Barra do Rio Azul;1726;146,995;Centro Local
31;MG;3114808;Carvalhos;4495;282,254;Centro Local
25;PB;2513208;Santa Cruz;6585;210,166;Centro Local
41;PR;4125555;São Manoel do Paraná;2158;95,381;Centro Local
22;PI;2207405;Palmeira do Piauí;5051;2023,513;Centro Local
31;MG;3167905;Tabuleiro;3792;211,084;Centro Local
43;RS;4310579;Itapuca;2125;184,673;Centro Local
52;GO;5207105;Diorama;2488;687,348;Centro Local
31;MG;3138682;Luislândia;6680;411,714;Centro Local
22;PI;2202778;Colônia do Piauí;7651;947,879;Centro Local
31;MG;3123858;Entre Folhas;5362;85,390;Centro Local
42;SC;4215059;Rio Rufino;2482;282,571;Centro Local
17;TO;1715002;Nova Rosalândia;4215;516,308;Centro Local
52;GO;5204656;Campinaçu;3649;1974,375;Centro Local
31;MG;3127206;Funilândia;4304;199,797;Centro Local
23;CE;2311231;Potiretama;6400;410,338;Centro Local
31;MG;3136959;Juvenília;5733;1064,692;Centro Local
29;BA;2900603;Aiquara;4478;167,877;Centro Local
43;RS;4310751;Ivorá;1940;122,930;Centro Local
42;SC;4210852;Mirim Doce;2336;337,318;Centro Local
21;MA;2101939;Bernardo do Mearim;6011;247,221;Centro Local
42;SC;4202156;Belmonte;2703;93,852;Centro Local
35;SP;3501400;Álvaro de Carvalho;5179;153,662;Centro Local
22;PI;2206506;Monsenhor Hipólito;7729;401,433;Centro Local
22;PI;2204907;Isaías Coelho;8551;787,681;Centro Local
